Taxon ID,AccessionNumber,Subtype,Date,Location
208,,,2008.21,Sisimiut| Greenland
214,,,2008.21,Sisimiut| Greenland
218,,,2008.21,Itilleq| Greenland
248,,,2008.21,Sisimiut| Greenland
267,,,2008.21,Sisimiut| Greenland
268,,,2008.21,Sisimiut| Greenland
345,JN792905,,2004.96,Sarfannguaq| Greenland
417,,,2004.96,Itilleq| Greenland
422,,,2004.96,Itilleq| Greenland
437,,,2004.96,Itilleq| Greenland
449,JN792912,,2004.96,Itilleq| Greenland
473,JN792907,,2004.96,Sarfannguaq| Greenland
1205,JN792909,,1998.87,Itilleq| Greenland
1509,,,2009.71,Itilleq| Greenland
1776,,,1998.87,Sisimiut| Greenland
2031,,,1998.87,Sisimiut| Greenland
2132,,,1998.87,Sisimiut| Greenland
2335,,,1998.87,Sisimiut| Greenland
2903,,,1998.87,Sisimiut| Greenland
2943,JN792904,,1998.87,Sarfannguaq| Greenland
2951,JN792908,,1998.87,Sarfannguaq| Greenland
2952,JN792911,,1998.87,Itilleq| Greenland
2958,JN792906,,1998.87,Sarfannguaq| Greenland
3288,,,1998.87,Sisimiut| Greenland
5180,,,2009.46,Itilleq| Greenland
5198,,,2009.46,Itilleq| Greenland
30127,JN792903,,2004.96,Sarfannguaq| Greenland
302000479,,,2004.96,Itilleq| Greenland
312000479,JN792910,,2004.96,Itilleq| Greenland
101102-700441,,,2017.50,Sisimiut| Greenland
101105-706980,,,2017.50,Sisimiut| Greenland
101116-458966,,,2017.50,Sisimiut| Greenland
101138-639190,,,2017.50,Nuuk| Greenland
101148-137251,,,2017.50,Aasiaat| Greenland
101148-241032,,,2017.50,Nuuk| Greenland
101156-155760,,,2017.50,Nuuk| Greenland
101161-498572,,,2017.50,Nuuk| Greenland
101192-645410,,,2017.50,Sisimiut| Greenland
101195-133160,,,2017.50,Sisimiut| Greenland
aHBV,,,1068,Petersburg
aHBV-DA222,LT992454,D3,849,Butakty| Kazakhstan
aHBV-DA27,LT992439,D5,406,Halvay3| Kazakhstan
aHBV-DA29,LT992438,D3,1194,Karasyur| Kazakhstan
aHBV-DA51,LT992444,D1,-281,Keden| Kyrgyzstan
aHBV-NASD24SEQ,MG585269,D3,1569,Italy
,GQ205384,D5,2008.13,India
,GQ205382,D5,2008.04,India
,KP322603,D5,2013.88,India
,GQ205377,D5,2007.20,India
,GQ205387,D5,2008.79,India
,JN688695,,2009.50,Argentina
,GQ922003,D4,1984.88,Northwest Territories
,KU736923,D6,2006.96,Somalia
,KP168419,D6,2012.04,Kenya
,HQ700536,D4,2004.04,Kiribati
,HQ700501,D4,1991.04,Samoa
,HQ700525,D4,2004.04,Papua New Guinea
,KNA827299,D6,2010.13,USA
,KJ470884,D4,2010.20,Brazil
,KP322604,D6,2013.88,Tunisia
,KU736921,D6,2011.54,Ethiopia
,FJ692533,D4,2006.04,Haiti
,GQ477453,D2,2006.20,Poland
,AB555500,D2,2009.50,Taiwanese aborigines
,AB555497,D2,2009.50,Taiwanese aborigines
,AB555496,D2,2009.50,Taiwanese aborigines
,KJ647352,D2,2011.20,Argentina
,AB555501,D2,2009.50,Taiwanese aborigines
,FJ349205,D2,2008.96,Belgium
,JQ687532,D2,2008.13,Serbia
,GQ924652,D2,2007.04,Malaysia
,FJ349220,D1,1999.88,Belgium
,FJ349218,D2,1999.54,Belgium
,HQ700511,D,2001.50,New Caledonia
,AB267090,D2,2005.71,Japan
,GQ477459,D1,2006.20,Poland
,KF584162,D1,2012.20,Argentina
,KF584161,D1,2011.29,Argentina
,KF061168,D1,2012.29,Pakistan
,KU736925,D2,2008.88,Sudan
,KP322601,D2,2013.88,India
,JNA096956,D2,2006.37,Latvia
,KNA827301,D2,2010.13,USA
,JN257193,D1,2009.13,Syria
,FJ904443,D1,2005.96,Tunisia
,GQ377589,D1,2007.20,China
,KP322599,D1,2013.88,India
,JN257185,D1,2008.71,Syria
,GQ922000,D3,1985.04,Northwest Territories
,KP090177,D3,2003.46,Brazil
,FJ349209,D3,1998.29,Belgium
,KNA827292,D3,2010.13,USA
,KT347090,D3,2007.04,South Africa